T,Patents,,,,,
156,China,2019,Grants of patents (number),"452,804","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
156,China,2020,Grants of patents (number),"530,127","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
156,China,2021,Grants of patents (number),"695,946","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
156,China,2005,Patents in force (number),"182,396","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
156,China,2010,Patents in force (number),"564,760","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
156,China,2019,Patents in force (number),"2,670,784","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
156,China,2020,Patents in force (number),"3,057,844","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
156,China,2021,Patents in force (number),"3,596,901","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
344,"China, Hong Kong SAR",1985,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
344,"China, Hong Kong SAR",1995,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
344,"China, Hong Kong SAR",2005,Resident patent filings (per million population),23,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
344,"China, Hong Kong SAR",2010,Resident patent filings (per million population),19,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
344,"China, Hong Kong SAR",2019,Resident patent filings (per million population),46,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
344,"China, Hong Kong SAR",2020,Resident patent filings (per million population),57,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
344,"China, Hong Kong SAR",2021,Resident patent filings (per million population),54,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
344,"China, Hong Kong SAR",1985,Grants of patents (number),"1,030",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
344,"China, Hong Kong SAR",1995,Grants of patents (number),"1,960",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
344,"China, Hong Kong SAR",2005,Grants of patents (number),"6,518",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
344,"China, Hong Kong SAR",2010,Grants of patents (number),"5,353",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
344,"China, Hong Kong SAR",2019,Grants of patents (number),"6,780",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
344,"China, Hong Kong SAR",2020,Grants of patents (number),"7,658",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
344,"China, Hong Kong SAR",2021,Grants of patents (number),"14,662",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
344,"China, Hong Kong SAR",2010,Patents in force (number),"33,225",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
344,"China, Hong Kong SAR",2019,Patents in force (number),"51,949",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
344,"China, Hong Kong SAR",2020,Patents in force (number),"53,726",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
344,"China, Hong Kong SAR",2021,Patents in force (number),"61,446",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
446,"China, Macao SAR",1995,Grants of patents (number),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
446,"China, Macao SAR",2005,Grants of patents (number),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
446,"China, Macao SAR",2010,Grants of patents (number),156,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
446,"China, Macao SAR",2019,Grants of patents (number),20,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
446,"China, Macao SAR",2020,Grants of patents (number),18,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
446,"China, Macao SAR",2021,Grants of patents (number),15,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
446,"China, Macao SAR",2005,Patents in force (number),12,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
446,"China, Macao SAR",2010,Patents in force (number),377,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
446,"China, Macao SAR",2019,Patents in force (number),366,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
446,"China, Macao SAR",2020,Patents in force (number),353,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
446,"China, Macao SAR",2021,Patents in force (number),348,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
170,Colombia,1985,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
170,Colombia,1995,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
170,Colombia,2005,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
170,Colombia,2010,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
170,Colombia,2019,Resident patent filings (per million population),8,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
170,Colombia,2020,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
170,Colombia,2021,Resident patent filings (per million population),8,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
170,Colombia,1985,Grants of patents (number),169,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
170,Colombia,1995,Grants of patents (number),365,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
170,Colombia,2005,Grants of patents (number),256,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
170,Colombia,2010,Grants of patents (number),639,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
170,Colombia,2019,Grants of patents (number),"1,630",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
170,Colombia,2020,Grants of patents (number),"1,075",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
170,Colombia,2021,Grants of patents (number),"1,263",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
170,Colombia,2019,Patents in force (number),"8,211",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
170,Colombia,2020,Patents in force (number),"8,365",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
170,Colombia,2021,Patents in force (number),"8,457",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
178,Congo,2005,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
178,Congo,2019,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
178,Congo,2020,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
178,Congo,2021,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
178,Congo,1995,Grants of patents (number),15,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
188,Costa Rica,1985,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
188,Costa Rica,1995,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
188,Costa Rica,2005,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
188,Costa Rica,2010,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
188,Costa Rica,2019,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
188,Costa Rica,2020,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
188,Costa Rica,2021,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
188,Costa Rica,1985,Grants of patents (number),20,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
188,Costa Rica,1995,Grants of patents (number),25,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
188,Costa Rica,2005,Grants of patents (number),13,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
188,Costa Rica,2010,Grants of patents (number),34,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
188,Costa Rica,2019,Grants of patents (number),191,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
188,Costa Rica,2020,Grants of patents (number),170,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
188,Costa Rica,2021,Grants of patents (number),130,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
188,Costa Rica,2019,Patents in force (number),"1,068",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
188,Costa Rica,2020,Patents in force (number),"1,175",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
188,Costa Rica,2021,Patents in force (number),"1,188",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
384,Côte d’Ivoire,2019,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
384,Côte d’Ivoire,2020,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
384,Côte d’Ivoire,2021,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
191,Croatia,1995,Resident patent filings (per million population),57,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
191,Croatia,2005,Resident patent filings (per million population),84,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
191,Croatia,2010,Resident patent filings (per million population),64,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
191,Croatia,2019,Resident patent filings (per million population),53,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
191,Croatia,2020,Resident patent filings (per million population),34,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
191,Croatia,2021,Resident patent filings (per million population),27,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
191,Croatia,1995,Grants of patents (number),25,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
191,Croatia,2005,Grants of patents (number),140,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
191,Croatia,2010,Grants of patents (number),82,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
191,Croatia,2019,Grants of patents (number),20,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
191,Croatia,2020,Grants of patents (number),10,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
191,Croatia,2021,Grants of patents (number),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
191,Croatia,2005,Patents in force (number),"1,094",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
191,Croatia,2010,Patents in force (number),"2,134",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
191,Croatia,2019,Patents in force (number),"10,059",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
191,Croatia,2020,Patents in force (number),"11,041",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
191,Croatia,2021,Patents in force (number),"11,876",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
192,Cuba,1995,Resident patent filings (per million population),10,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
192,Cuba,2005,Resident patent filings (per million population),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
192,Cuba,2019,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
192,Cuba,2020,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
192,Cuba,2021,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
192,Cuba,1985,Grants of patents (number),18,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
192,Cuba,1995,Grants of patents (number),77,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
192,Cuba,2005,Grants of patents (number),64,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
192,Cuba,2019,Grants of patents (number),89,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
192,Cuba,2020,Grants of patents (number),38,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
192,Cuba,2021,Grants of patents (number),81,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
192,Cuba,2005,Patents in force (number),653,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
192,Cuba,2019,Patents in force (number),648,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
192,Cuba,2020,Patents in force (number),581,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
192,Cuba,2021,Patents in force (number),494,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
196,Cyprus,2005,Resident patent filings (per million population),54,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
196,Cyprus,2010,Resident patent filings (per million population),35,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
196,Cyprus,2019,Resident patent filings (per million population),43,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
196,Cyprus,2020,Resident patent filings (per million population),56,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
196,Cyprus,2021,Resident patent filings (per million population),38,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
196,Cyprus,1985,Grants of patents (number),43,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
196,Cyprus,2005,Grants of patents (number),68,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
196,Cyprus,2010,Grants of patents (number),19,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
196,Cyprus,2019,Grants of patents (number),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
196,Cyprus,2010,Patents in force (number),333,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
196,Cyprus,2019,Patents in force (number),16,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
196,Cyprus,2020,Patents in force (number),21,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
196,Cyprus,2021,Patents in force (number),14,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
203,Czechia,1995,Resident patent filings (per million population),61,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
203,Czechia,2005,Resident patent filings (per million population),65,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
203,Czechia,2010,Resident patent filings (per million population),99,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
203,Czechia,2019,Resident patent filings (per million population),90,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
203,Czechia,2020,Resident patent filings (per million population),82,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
203,Czechia,2021,Resident patent filings (per million population),70,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
203,Czechia,1995,Grants of patents (number),"1,299",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
203,Czechia,2005,Grants of patents (number),"1,551",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
203,Czechia,2010,Grants of patents (number),911,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
203,Czechia,2019,Grants of patents (number),509,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
203,Czechia,2020,Grants of patents (number),499,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
203,Czechia,2021,Grants of patents (number),444,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
203,Czechia,2005,Patents in force (number),"10,165",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
203,Czechia,2010,Patents in force (number),"23,415",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
203,Czechia,2019,Patents in force (number),"48,391",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
203,Czechia,2020,Patents in force (number),"50,193",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
203,Czechia,2021,Patents in force (number),"51,153",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
408,Dem. People's Rep. Korea,2005,Resident patent filings (per million population),245,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
408,Dem. People's Rep. Korea,2010,Resident patent filings (per million population),327,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
408,Dem. People's Rep. Korea,2019,Resident patent filings (per million population),287,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
408,Dem. People's Rep. Korea,2020,Resident patent filings (per million population),269,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
408,Dem. People's Rep. Korea,2005,Grants of patents (number),"3,583",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
408,Dem. People's Rep. Korea,2010,Grants of patents (number),"6,290",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
408,Dem. People's Rep. Korea,2019,Grants of patents (number),"4,712",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
408,Dem. People's Rep. Korea,2020,Grants of patents (number),"4,227",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
180,Dem. Rep. of the Congo,2019,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
180,Dem. Rep. of the Congo,2020,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
180,Dem. Rep. of the Congo,2019,Grants of patents (number),63,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
180,Dem. Rep. of the Congo,2020,Grants of patents (number),27,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
180,Dem. Rep. of the Congo,2019,Patents in force (number),28,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
180,Dem. Rep. of the Congo,2020,Patents in force (number),15,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
208,Denmark,1985,Resident patent filings (per million population),167,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
208,Denmark,1995,Resident patent filings (per million population),236,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
208,Denmark,2005,Resident patent filings (per million population),523,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
208,Denmark,2010,Resident patent filings (per million population),625,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
208,Denmark,2019,Resident patent filings (per million population),646,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
208,Denmark,2020,Resident patent filings (per million population),628,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
208,Denmark,2021,Resident patent filings (per million population),634,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
208,Denmark,1985,Grants of patents (number),"1,054",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
208,Denmark,1995,Grants of patents (number),"1,120",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
208,Denmark,2005,Grants of patents (number),389,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
208,Denmark,2010,Grants of patents (number),155,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
208,Denmark,2019,Grants of patents (number),501,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
208,Denmark,2020,Grants of patents (number),353,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
208,Denmark,2021,Grants of patents (number),368,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
208,Denmark,2005,Patents in force (number),"56,978",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
208,Denmark,2010,Patents in force (number),"47,732",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
208,Denmark,2019,Patents in force (number),"65,967",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
208,Denmark,2020,Patents in force (number),"68,961",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
208,Denmark,2021,Patents in force (number),"69,784",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
212,Dominica,2019,Grants of patents (number),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
212,Dominica,2020,Grants of patents (number),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
212,Dominica,2021,Grants of patents (number),11,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
214,Dominican Republic,2005,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
214,Dominican Republic,2010,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
214,Dominican Republic,2019,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
214,Dominican Republic,2020,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
214,Dominican Republic,2021,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
214,Dominican Republic,2010,Grants of patents (number),91,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
214,Dominican Republic,2019,Grants of patents (number),158,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
214,Dominican Republic,2020,Grants of patents (number),138,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
214,Dominican Republic,2021,Grants of patents (number),227,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
214,Dominican Republic,2019,Patents in force (number),758,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
214,Dominican Republic,2020,Patents in force (number),861,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
214,Dominican Republic,2021,Patents in force (number),938,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
218,Ecuador,1995,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
218,Ecuador,2005,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
218,Ecuador,2019,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
218,Ecuador,2020,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
218,Ecuador,2021,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
218,Ecuador,1995,Grants of patents (number),90,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
218,Ecuador,2005,Grants of patents (number),38,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
218,Ecuador,2010,Grants of patents (number),28,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
218,Ecuador,2019,Grants of patents (number),17,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
